"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"95","2300-2359","JetBlue Airways","New York, NY: John F. Kennedy International",19768,18.5440900562852
"96","2300-2359","Southwest Airlines Co.","New York, NY: LaGuardia",6,6
"97","2300-2359","ExpressJet Airlines Inc.","Newark, NJ: Newark Liberty International",302,7.55
"98","2300-2359","JetBlue Airways","Newark, NJ: Newark Liberty International",2601,30.2441860465116
"99","2300-2359","United Air Lines Inc.","Newark, NJ: Newark Liberty International",852,15.7777777777778
"100","2300-2359","Alaska Airlines Inc.","Nome, AK: Nome Airport",0,0
"101","2300-2359","Delta Air Lines Inc.","Oakland, CA: Metropolitan Oakland International",2433,46.7884615384615
"102","2300-2359","JetBlue Airways","Oakland, CA: Metropolitan Oakland International",3195,31.3235294117647
"103","2300-2359","Southwest Airlines Co.","Oakland, CA: Metropolitan Oakland International",16,16
"104","2300-2359","Southwest Airlines Co.","Ontario, CA: Ontario International",309,23.7692307692308
"105","2300-2359","Frontier Airlines Inc.","Orlando, FL: Orlando International",64,32
"106","2300-2359","JetBlue Airways","Orlando, FL: Orlando International",5218,13.7315789473684
"107","2300-2359","Southwest Airlines Co.","Orlando, FL: Orlando International",312,10.4
"108","2300-2359","Hawaiian Airlines Inc.","Pago Pago, TT: Pago Pago International",7256,59.9669421487603
"109","2300-2359","JetBlue Airways","Palm Springs, CA: Palm Springs International",1310,17.2368421052632
"110","2300-2359","SkyWest Airlines Inc.","Palm Springs, CA: Palm Springs International",0,0
"111","2300-2359","United Air Lines Inc.","Palm Springs, CA: Palm Springs International",13,13
"112","2300-2359","American Airlines Inc.","Philadelphia, PA: Philadelphia International",256,25.6
"113","2300-2359","Frontier Airlines Inc.","Philadelphia, PA: Philadelphia International",0,0
"114","2300-2359","American Airlines Inc.","Phoenix, AZ: Phoenix Sky Harbor International",12320,9.02564102564103
"115","2300-2359","Delta Air Lines Inc.","Phoenix, AZ: Phoenix Sky Harbor International",1539,3.69951923076923
