"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"115","2300-2359","United Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County",0,0
"116","2300-2359","SkyWest Airlines Inc.","El Paso, TX: El Paso International",0,0
"117","2300-2359","Southwest Airlines Co.","El Paso, TX: El Paso International",2096,14.5555555555556
"118","2300-2359","SkyWest Airlines Inc.","Eugene, OR: Mahlon Sweet Field",20,20
"119","2300-2359","Alaska Airlines Inc.","Fairbanks, AK: Fairbanks International",0,0
"120","2300-2359","SkyWest Airlines Inc.","Fargo, ND: Hector International",49,49
"121","2300-2359","SkyWest Airlines Inc.","Flagstaff, AZ: Flagstaff Pulliam",178,17.8
"122","2300-2359","American Airlines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",148,13.4545454545455
"123","2300-2359","Delta Air Lines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",778,13.6491228070175
"124","2300-2359","JetBlue Airways","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",60521,30.7369222955815
"125","2300-2359","Southwest Airlines Co.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",10355,15.1610541727672
"126","2300-2359","Spirit Air Lines","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",43880,22.7829698857736
"127","2300-2359","United Air Lines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1918,12.7866666666667
"128","2300-2359","American Airlines Inc.","Fort Myers, FL: Southwest Florida International",108,15.4285714285714
"129","2300-2359","Frontier Airlines Inc.","Fort Myers, FL: Southwest Florida International",3006,19.5194805194805
"130","2300-2359","JetBlue Airways","Fort Myers, FL: Southwest Florida International",9425,30.3054662379421
"131","2300-2359","Southwest Airlines Co.","Fort Myers, FL: Southwest Florida International",2499,14.7
"132","2300-2359","Spirit Air Lines","Fort Myers, FL: Southwest Florida International",11585,25.6873614190687
"133","2300-2359","United Air Lines Inc.","Fort Myers, FL: Southwest Florida International",37,3.7
"134","2300-2359","ExpressJet Airlines Inc.","Grand Rapids, MI: Gerald R. Ford International",195,19.5
"135","2300-2359","Southwest Airlines Co.","Grand Rapids, MI: Gerald R. Ford International",62,5.16666666666667
"136","2300-2359","United Air Lines Inc.","Grand Rapids, MI: Gerald R. Ford International",0,0
"137","2300-2359","ExpressJet Airlines Inc.","Greensboro/High Point, NC: Piedmont Triad International",3,0.75
"138","2300-2359","ExpressJet Airlines Inc.","Greer, SC: Greenville-Spartanburg International",0,NA
"139","2300-2359","American Airlines Inc.","Hartford, CT: Bradley International",34,4.25
"140","2300-2359","Delta Air Lines Inc.","Hartford, CT: Bradley International",7,7
"141","2300-2359","ExpressJet Airlines Inc.","Hartford, CT: Bradley International",0,0
"142","2300-2359","JetBlue Airways","Hartford, CT: Bradley International",133,11.0833333333333
"143","2300-2359","SkyWest Airlines Inc.","Hartford, CT: Bradley International",0,0
"144","2300-2359","Southwest Airlines Co.","Hartford, CT: Bradley International",540,18.6206896551724
"145","2300-2359","United Air Lines Inc.","Hartford, CT: Bradley International",0,0
"146","2300-2359","SkyWest Airlines Inc.","Hibbing, MN: Range Regional",3,0.230769230769231
"147","2300-2359","Alaska Airlines Inc.","Honolulu, HI: Honolulu International",4242,12.9329268292683
"148","2300-2359","American Airlines Inc.","Honolulu, HI: Honolulu International",2644,11.3476394849785
"149","2300-2359","Delta Air Lines Inc.","Honolulu, HI: Honolulu International",3498,9.99428571428571
"150","2300-2359","Hawaiian Airlines Inc.","Honolulu, HI: Honolulu International",6097,9.99508196721311
"151","2300-2359","United Air Lines Inc.","Honolulu, HI: Honolulu International",1723,7.49130434782609
"152","2300-2359","American Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",1882,21.3863636363636
"153","2300-2359","Delta Air Lines Inc.","Houston, TX: George Bush Intercontinental/Houston",0,0
"154","2300-2359","ExpressJet Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",13417,9.36941340782123
"155","2300-2359","Frontier Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",3749,19.0304568527919
"156","2300-2359","SkyWest Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",9145,10.4514285714286
"157","2300-2359","Spirit Air Lines","Houston, TX: George Bush Intercontinental/Houston",10119,21.2584033613445
"158","2300-2359","United Air Lines Inc.","Houston, TX: George Bush Intercontinental/Houston",58332,13.5121612230716
"159","2300-2359","JetBlue Airways","Houston, TX: William P Hobby",2812,21.6307692307692
"160","2300-2359","Southwest Airlines Co.","Houston, TX: William P Hobby",69961,14.1535504754198
"161","2300-2359","SkyWest Airlines Inc.","Idaho Falls, ID: Idaho Falls Regional",0,0
"162","2300-2359","American Airlines Inc.","Indianapolis, IN: Indianapolis International",19,2.11111111111111
"163","2300-2359","ExpressJet Airlines Inc.","Indianapolis, IN: Indianapolis International",0,0
"164","2300-2359","Frontier Airlines Inc.","Indianapolis, IN: Indianapolis International",382,19.1
"165","2300-2359","Southwest Airlines Co.","Indianapolis, IN: Indianapolis International",312,7.09090909090909
"166","2300-2359","United Air Lines Inc.","Indianapolis, IN: Indianapolis International",4,1
"167","2300-2359","Southwest Airlines Co.","Islip, NY: Long Island MacArthur",150,30
"168","2300-2359","American Airlines Inc.","Jacksonville, FL: Jacksonville International",0,0
