"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"171",4,"Frontier Airlines Inc.","Des Moines, IA: Des Moines International","CANCELLED",1
"172",4,"SkyWest Airlines Inc.","Des Moines, IA: Des Moines International","CANCELLED",3
"173",4,"United Air Lines Inc.","Des Moines, IA: Des Moines International","CANCELLED",1
"174",4,"American Airlines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",8
"175",4,"Delta Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",16
"176",4,"ExpressJet Airlines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",24
"177",4,"Frontier Airlines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",1
"178",4,"JetBlue Airways","Detroit, MI: Detroit Metro Wayne County","CANCELLED",3
"179",4,"SkyWest Airlines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",25
"180",4,"Southwest Airlines Co.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",7
"181",4,"Spirit Air Lines","Detroit, MI: Detroit Metro Wayne County","CANCELLED",18
"182",4,"United Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County","CANCELLED",2
"183",4,"SkyWest Airlines Inc.","Devils Lake, ND: Devils Lake Regional","CANCELLED",6
"184",4,"SkyWest Airlines Inc.","Duluth, MN: Duluth International","CANCELLED",6
"185",4,"ExpressJet Airlines Inc.","Durango, CO: Durango La Plata County","CANCELLED",3
"186",4,"SkyWest Airlines Inc.","Durango, CO: Durango La Plata County","CANCELLED",2
"187",4,"SkyWest Airlines Inc.","Eau Claire, WI: Chippewa Valley Regional","CANCELLED",4
"188",4,"ExpressJet Airlines Inc.","El Paso, TX: El Paso International","CANCELLED",4
"189",4,"SkyWest Airlines Inc.","El Paso, TX: El Paso International","CANCELLED",1
"190",4,"Southwest Airlines Co.","El Paso, TX: El Paso International","CANCELLED",3
"191",4,"SkyWest Airlines Inc.","Elko, NV: Elko Regional","CANCELLED",1
"192",4,"ExpressJet Airlines Inc.","Elmira/Corning, NY: Elmira/Corning Regional","CANCELLED",1
"193",4,"ExpressJet Airlines Inc.","Erie, PA: Erie International/Tom Ridge Field","CANCELLED",2
"194",4,"SkyWest Airlines Inc.","Escanaba, MI: Delta County","CANCELLED",5
"195",4,"SkyWest Airlines Inc.","Eugene, OR: Mahlon Sweet Field","CANCELLED",6
"196",4,"United Air Lines Inc.","Eugene, OR: Mahlon Sweet Field","CANCELLED",1
"197",4,"ExpressJet Airlines Inc.","Evansville, IN: Evansville Regional","CANCELLED",2
"198",4,"Alaska Airlines Inc.","Fairbanks, AK: Fairbanks International","CANCELLED",2
"199",4,"ExpressJet Airlines Inc.","Fargo, ND: Hector International","CANCELLED",4
"200",4,"SkyWest Airlines Inc.","Fargo, ND: Hector International","CANCELLED",9
"201",4,"ExpressJet Airlines Inc.","Fayetteville, AR: Northwest Arkansas Regional","CANCELLED",7
"202",4,"SkyWest Airlines Inc.","Fayetteville, AR: Northwest Arkansas Regional","CANCELLED",3
"203",4,"SkyWest Airlines Inc.","Flagstaff, AZ: Flagstaff Pulliam","CANCELLED",5
"204",4,"ExpressJet Airlines Inc.","Flint, MI: Bishop International","CANCELLED",1
"205",4,"SkyWest Airlines Inc.","Flint, MI: Bishop International","CANCELLED",1
"206",4,"Southwest Airlines Co.","Flint, MI: Bishop International","CANCELLED",2
"207",4,"Alaska Airlines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",2
"208",4,"American Airlines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",17
"209",4,"Delta Air Lines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",25
"210",4,"Frontier Airlines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",2
"211",4,"JetBlue Airways","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",61
"212",4,"Southwest Airlines Co.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",38
"213",4,"Spirit Air Lines","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",40
"214",4,"United Air Lines Inc.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",17
"215",4,"Virgin America","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","CANCELLED",3
"216",4,"American Airlines Inc.","Fort Myers, FL: Southwest Florida International","CANCELLED",4
"217",4,"JetBlue Airways","Fort Myers, FL: Southwest Florida International","CANCELLED",1
"218",4,"Spirit Air Lines","Fort Myers, FL: Southwest Florida International","CANCELLED",4
"219",4,"United Air Lines Inc.","Fort Myers, FL: Southwest Florida International","CANCELLED",2
"220",4,"ExpressJet Airlines Inc.","Fort Smith, AR: Fort Smith Regional","CANCELLED",1
"221",4,"SkyWest Airlines Inc.","Fort Wayne, IN: Fort Wayne International","CANCELLED",6
"222",4,"American Airlines Inc.","Fresno, CA: Fresno Yosemite International","CANCELLED",1
"223",4,"SkyWest Airlines Inc.","Fresno, CA: Fresno Yosemite International","CANCELLED",9
"224",4,"ExpressJet Airlines Inc.","Gainesville, FL: Gainesville Regional","CANCELLED",1
"225",4,"ExpressJet Airlines Inc.","Garden City, KS: Garden City Regional","CANCELLED",2
"226",4,"SkyWest Airlines Inc.","Gillette, WY: Gillette Campbell County","CANCELLED",4
"227",4,"SkyWest Airlines Inc.","Grand Forks, ND: Grand Forks International","CANCELLED",1
"228",4,"SkyWest Airlines Inc.","Grand Junction, CO: Grand Junction Regional","CANCELLED",2
"229",4,"ExpressJet Airlines Inc.","Grand Rapids, MI: Gerald R. Ford International","CANCELLED",13
"230",4,"SkyWest Airlines Inc.","Grand Rapids, MI: Gerald R. Ford International","CANCELLED",3
"231",4,"Southwest Airlines Co.","Grand Rapids, MI: Gerald R. Ford International","CANCELLED",4
"232",4,"United Air Lines Inc.","Grand Rapids, MI: Gerald R. Ford International","CANCELLED",3
"233",4,"SkyWest Airlines Inc.","Great Falls, MT: Great Falls International","CANCELLED",2
"234",4,"ExpressJet Airlines Inc.","Green Bay, WI: Green Bay Austin Straubel International","CANCELLED",4
"235",4,"Delta Air Lines Inc.","Greensboro/High Point, NC: Piedmont Triad International","CANCELLED",1
"236",4,"ExpressJet Airlines Inc.","Greensboro/High Point, NC: Piedmont Triad International","CANCELLED",22
"237",4,"Frontier Airlines Inc.","Greensboro/High Point, NC: Piedmont Triad International","CANCELLED",1
"238",4,"ExpressJet Airlines Inc.","Greer, SC: Greenville-Spartanburg International","CANCELLED",12
"239",4,"SkyWest Airlines Inc.","Greer, SC: Greenville-Spartanburg International","CANCELLED",3
"240",4,"United Air Lines Inc.","Guam, TT: Guam International","CANCELLED",1
"241",4,"ExpressJet Airlines Inc.","Gulfport/Biloxi, MS: Gulfport-Biloxi International","CANCELLED",4
"242",4,"SkyWest Airlines Inc.","Hancock/Houghton, MI: Houghton County Memorial","CANCELLED",7
"243",4,"ExpressJet Airlines Inc.","Harlingen/San Benito, TX: Valley International","CANCELLED",2
"244",4,"Southwest Airlines Co.","Harlingen/San Benito, TX: Valley International","CANCELLED",2
"245",4,"United Air Lines Inc.","Harrisburg, PA: Harrisburg International","CANCELLED",1
"246",4,"American Airlines Inc.","Hartford, CT: Bradley International","CANCELLED",5
"247",4,"Delta Air Lines Inc.","Hartford, CT: Bradley International","CANCELLED",1
"248",4,"ExpressJet Airlines Inc.","Hartford, CT: Bradley International","CANCELLED",2
"249",4,"JetBlue Airways","Hartford, CT: Bradley International","CANCELLED",6
"250",4,"SkyWest Airlines Inc.","Hartford, CT: Bradley International","CANCELLED",3
"251",4,"Southwest Airlines Co.","Hartford, CT: Bradley International","CANCELLED",9
"252",4,"United Air Lines Inc.","Hartford, CT: Bradley International","CANCELLED",1
"253",4,"ExpressJet Airlines Inc.","Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional","CANCELLED",1
"254",4,"SkyWest Airlines Inc.","Hayden, CO: Yampa Valley","CANCELLED",2
