"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"89",7,"United Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",0,NA
"90",7,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional",2448,31.7922077922078
"91",7,"Alaska Airlines Inc.","Bellingham, WA: Bellingham International",311,3.01941747572816
"92",7,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional",1142,11.42
"93",7,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field",5893,15.5899470899471
"94",7,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport",111,1.14432989690722
"95",7,"Delta Air Lines Inc.","Billings, MT: Billings Logan International",1010,6.82432432432432
"96",7,"ExpressJet Airlines Inc.","Billings, MT: Billings Logan International",286,143
"97",7,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International",2509,12.2390243902439
"98",7,"United Air Lines Inc.","Billings, MT: Billings Logan International",314,2.85454545454545
"99",7,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",1730,14.5378151260504
"100",7,"American Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",0,0
"101",7,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",5622,12.6907449209932
"102",7,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",8081,16.9768907563025
"103",7,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",3480,19.4413407821229
"104",7,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",5358,9.11224489795918
"105",7,"Delta Air Lines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",451,7.64406779661017
"106",7,"ExpressJet Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",32,3.55555555555556
"107",7,"Frontier Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",751,21.4571428571429
"108",7,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal",2649,10.2674418604651
"109",7,"Delta Air Lines Inc.","Bloomington/Normal, IL: Central Illinois Regional",639,16.8157894736842
"110",7,"ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",1377,13.2403846153846
"111",7,"SkyWest Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional",206,3.02941176470588
"112",7,"American Airlines Inc.","Boise, ID: Boise Air Terminal",1303,9.72388059701493
"113",7,"Delta Air Lines Inc.","Boise, ID: Boise Air Terminal",223,1.55944055944056
"114",7,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal",13967,11.6683375104428
"115",7,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal",2767,6.09471365638767
"116",7,"United Air Lines Inc.","Boise, ID: Boise Air Terminal",474,8.03389830508475
"117",7,"Alaska Airlines Inc.","Boston, MA: Logan International",1393,6.60189573459716
"118",7,"American Airlines Inc.","Boston, MA: Logan International",32483,9.39358010410642
"119",7,"Delta Air Lines Inc.","Boston, MA: Logan International",23624,12.5793397231097
"120",7,"ExpressJet Airlines Inc.","Boston, MA: Logan International",3088,11.4795539033457
"121",7,"JetBlue Airways","Boston, MA: Logan International",85839,14.3711702661979
"122",7,"SkyWest Airlines Inc.","Boston, MA: Logan International",221,22.1
"123",7,"Southwest Airlines Co.","Boston, MA: Logan International",18716,11.5888544891641
"124",7,"Spirit Air Lines","Boston, MA: Logan International",9377,18.8672032193159
"125",7,"United Air Lines Inc.","Boston, MA: Logan International",18848,12.2788273615635
"126",7,"Virgin America","Boston, MA: Logan International",4158,18
"127",7,"Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",683,3.90285714285714
"128",7,"Frontier Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",520,15.7575757575758
"129",7,"SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International",2024,8.06374501992032
