"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"165",4,"American Airlines Inc.","Charlotte Amalie, VI: Cyril E King",5003,16.7885906040268
"166",4,"Delta Air Lines Inc.","Charlotte Amalie, VI: Cyril E King",402,2.79166666666667
"167",4,"JetBlue Airways","Charlotte Amalie, VI: Cyril E King",1464,11.3488372093023
"168",4,"Spirit Air Lines","Charlotte Amalie, VI: Cyril E King",393,7.55769230769231
"169",4,"United Air Lines Inc.","Charlotte Amalie, VI: Cyril E King",1140,22.3529411764706
"170",4,"American Airlines Inc.","Charlotte, NC: Charlotte Douglas International",175862,12.1543990600594
"171",4,"Delta Air Lines Inc.","Charlotte, NC: Charlotte Douglas International",9831,9.82117882117882
"172",4,"ExpressJet Airlines Inc.","Charlotte, NC: Charlotte Douglas International",2925,24.5798319327731
"173",4,"Frontier Airlines Inc.","Charlotte, NC: Charlotte Douglas International",1670,20.6172839506173
"174",4,"JetBlue Airways","Charlotte, NC: Charlotte Douglas International",4353,21.0289855072464
"175",4,"SkyWest Airlines Inc.","Charlotte, NC: Charlotte Douglas International",5551,18.6275167785235
"176",4,"Southwest Airlines Co.","Charlotte, NC: Charlotte Douglas International",5518,16.0406976744186
"177",4,"United Air Lines Inc.","Charlotte, NC: Charlotte Douglas International",1548,9.55555555555556
"178",4,"Delta Air Lines Inc.","Charlottesville, VA: Charlottesville Albemarle",840,15.8490566037736
"179",4,"ExpressJet Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle",2475,15.5660377358491
"180",4,"SkyWest Airlines Inc.","Charlottesville, VA: Charlottesville Albemarle",3472,22.8421052631579
"181",4,"Delta Air Lines Inc.","Chattanooga, TN: Lovell Field",1105,8.24626865671642
"182",4,"ExpressJet Airlines Inc.","Chattanooga, TN: Lovell Field",6383,17.2048517520216
"183",4,"SkyWest Airlines Inc.","Chattanooga, TN: Lovell Field",3829,16.6478260869565
"184",4,"Delta Air Lines Inc.","Chicago, IL: Chicago Midway International",2450,6.26598465473146
"185",4,"ExpressJet Airlines Inc.","Chicago, IL: Chicago Midway International",2313,15.1176470588235
"186",4,"SkyWest Airlines Inc.","Chicago, IL: Chicago Midway International",1277,13.030612244898
"187",4,"Southwest Airlines Co.","Chicago, IL: Chicago Midway International",122195,9.82117022986658
"188",4,"Alaska Airlines Inc.","Chicago, IL: Chicago O'Hare International",4429,14.5690789473684
"189",4,"American Airlines Inc.","Chicago, IL: Chicago O'Hare International",151938,16.6034313189815
"190",4,"Delta Air Lines Inc.","Chicago, IL: Chicago O'Hare International",12697,10.3903436988543
"191",4,"ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International",61407,10.1971105944869
"192",4,"Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International",13688,21.4882260596546
"193",4,"JetBlue Airways","Chicago, IL: Chicago O'Hare International",6716,18.6038781163435
"194",4,"SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International",83504,13.4945054945055
"195",4,"Spirit Air Lines","Chicago, IL: Chicago O'Hare International",29219,19.3888520238885
"196",4,"United Air Lines Inc.","Chicago, IL: Chicago O'Hare International",174998,16.1735674676525
"197",4,"Virgin America","Chicago, IL: Chicago O'Hare International",2936,12.8771929824561
"198",4,"American Airlines Inc.","Christiansted, VI: Henry E. Rohlsen",2415,28.0813953488372
"199",4,"Delta Air Lines Inc.","Christiansted, VI: Henry E. Rohlsen",0,0
"200",4,"JetBlue Airways","Christiansted, VI: Henry E. Rohlsen",485,9.15094339622642
"201",4,"Delta Air Lines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",8265,8.58255451713396
"202",4,"ExpressJet Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",3524,13.0036900369004
"203",4,"Frontier Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",5051,16.5606557377049
"204",4,"SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",14083,15.5099118942731
"205",4,"United Air Lines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",169,6.76
"206",4,"American Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",4000,10.5820105820106
"207",4,"Delta Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",2914,6.57787810383747
"208",4,"ExpressJet Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",25897,16.3388012618297
"209",4,"Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",6613,15.4149184149184
"210",4,"JetBlue Airways","Cleveland, OH: Cleveland-Hopkins International",2560,13.1958762886598
"211",4,"SkyWest Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",1508,9.92105263157895
"212",4,"Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International",6629,8.26558603491272
"213",4,"Spirit Air Lines","Cleveland, OH: Cleveland-Hopkins International",9555,23.361858190709
"214",4,"United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International",10231,12.1652794292509
"215",4,"SkyWest Airlines Inc.","Cody, WY: Yellowstone Regional",1308,10.6341463414634
"216",4,"ExpressJet Airlines Inc.","College Station/Bryan, TX: Easterwood Field",2203,11.8440860215054
"217",4,"American Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",3869,23.4484848484848
"218",4,"Delta Air Lines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",298,5.62264150943396
"219",4,"ExpressJet Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",500,11.3636363636364
"220",4,"Frontier Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",2634,36.5833333333333
"221",4,"SkyWest Airlines Inc.","Colorado Springs, CO: City of Colorado Springs Municipal",13828,15.0304347826087
"222",4,"Delta Air Lines Inc.","Columbia, SC: Columbia Metropolitan",456,2.36269430051813
"223",4,"ExpressJet Airlines Inc.","Columbia, SC: Columbia Metropolitan",6857,13.9369918699187
"224",4,"SkyWest Airlines Inc.","Columbia, SC: Columbia Metropolitan",148,37
"225",4,"ExpressJet Airlines Inc.","Columbus, GA: Columbus Airport",1824,9.25888324873096
"226",4,"ExpressJet Airlines Inc.","Columbus, MS: Golden Triangle Regional",1940,12.5161290322581
"227",4,"American Airlines Inc.","Columbus, OH: Port Columbus International",4733,12.1984536082474
"228",4,"Delta Air Lines Inc.","Columbus, OH: Port Columbus International",3374,6.16819012797075
"229",4,"ExpressJet Airlines Inc.","Columbus, OH: Port Columbus International",6660,18.2465753424658
"230",4,"Frontier Airlines Inc.","Columbus, OH: Port Columbus International",3557,31.7589285714286
"231",4,"SkyWest Airlines Inc.","Columbus, OH: Port Columbus International",1733,10.6319018404908
"232",4,"Southwest Airlines Co.","Columbus, OH: Port Columbus International",14071,7.83027267668336
"233",4,"United Air Lines Inc.","Columbus, OH: Port Columbus International",2516,13.9777777777778
"234",4,"Alaska Airlines Inc.","Cordova, AK: Merle K Mudhole Smith",539,5.33663366336634
"235",4,"American Airlines Inc.","Corpus Christi, TX: Corpus Christi International",337,56.1666666666667
"236",4,"ExpressJet Airlines Inc.","Corpus Christi, TX: Corpus Christi International",2019,10.6263157894737
"237",4,"SkyWest Airlines Inc.","Corpus Christi, TX: Corpus Christi International",274,8.5625
"238",4,"Southwest Airlines Co.","Corpus Christi, TX: Corpus Christi International",1957,9.40865384615385
"239",4,"Delta Air Lines Inc.","Dallas, TX: Dallas Love Field",2375,9.20542635658915
"240",4,"ExpressJet Airlines Inc.","Dallas, TX: Dallas Love Field",8,2
"241",4,"Southwest Airlines Co.","Dallas, TX: Dallas Love Field",123322,13.1389303217558
"242",4,"Virgin America","Dallas, TX: Dallas Love Field",10769,13.7887323943662
"243",4,"Alaska Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",2055,9.87980769230769
"244",4,"American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",334945,16.05219016582
"245",4,"Delta Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",8216,9.53132250580046
"246",4,"ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",80629,18.8517652560206
"247",4,"Frontier Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",3837,22.8392857142857
"248",4,"JetBlue Airways","Dallas/Fort Worth, TX: Dallas/Fort Worth International",1438,13.9611650485437
"249",4,"SkyWest Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",11751,18.8317307692308
"250",4,"Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International",16924,13.5935742971888
"251",4,"United Air Lines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",10596,14.0717131474104
"252",4,"American Airlines Inc.","Dayton, OH: James M Cox/Dayton International",1125,12.6404494382022
"253",4,"Delta Air Lines Inc.","Dayton, OH: James M Cox/Dayton International",1536,7.34928229665072
"254",4,"ExpressJet Airlines Inc.","Dayton, OH: James M Cox/Dayton International",3406,14.618025751073
"255",4,"SkyWest Airlines Inc.","Dayton, OH: James M Cox/Dayton International",2680,10.0374531835206
